Client ID,Client Name,MID
10000004,1000 Islands / Association Island KOA,307817
10000008,"180 Chiropractic & Wellness Center, LLC",1239220055031596
10000012,"1st Medical of Annapolis, Inc.",1239220055017272
10000013,1st Place Hotel,1239220055033329
10000013,1st Place Hotel,347690
10000014,209 Urgent Care,1239220055016118
10000015,21st Century Dental,1239220055017090
10000018,440 Chiropractic,1239220055013081
10000019,4M Dental Implant Center,1239220055034251
10000019,4M Dental Implant Center,1239220055034707
10000019,4M Dental Implant Center,1239220055034863
10000023,5-Minute Walk-In Clinic,1239220055015920
10000026,"A and B Medical Supply of Crowley, LLC",1239220055002209
10000027,A Child's Best Smile,1239220055015771
10000029,A Compass Within Counseling and Psychological Services,1239220055015763
10000030,A Garden for Wellness,1239220055036827
10000032,A Meaningful Path Counseling PLLC,1239220055012265
10000033,"A Pathway to Healing Counseling Services, LLC",1239220055028915
10000036,"A Superior Towing Company, Inc.",1239220055005921
10000036,"A Superior Towing Company, Inc.",1239220055005939
10000037,A Welcomed Change,1239220055021399
10000042,"Aaron M. Gleason, PhD",1239220055016902
10000042,"Aaron M. Gleason, PhD",1239220055034467
10000042,"Aaron M. Gleason, PhD",1239220055034228
10000046,Abbe Center for Community Mental Health,1239220055001227
10000046,Abbe Center for Community Mental Health,313787
10000049,ABC Pediatrics,1239220055037452
10000051,Abilene KOA,300648
10000052,Abilene Physical Therapy and Sports Rehab,1239220055015441
10000057,Above Urgent Care Center,1239220055028246
10000064,Absolute Wellness,1239220055024690
10000068,Access Community Health Network,1239220055039813
10000072,Access Rehab Clinics,1239220055034657
10007998,Accu Dental Group,1239220055013743
10007998,Accu Dental Group,1239220055013800
10007998,Accu Dental Group,1239220055013784
10007998,Accu Dental Group,1239220055013792
10007998,Accu Dental Group,1239220055013750
10007998,Accu Dental Group,1239220055013735
10007998,Accu Dental Group,1239220055013776
10007998,Accu Dental Group,1239220055013768
10000090,Action Limb and Brace,1239220055019344
10000094,"Action Wrecker Service, Inc.",1239220055005236
10000098,Active Life Wellness Center,1239220055029848
10000100,"Active Wellness, LLC",1239220055030721
10000101,Activelifestylemedical,1239220055037858
10000103,Activus Technologies Corporation,1239220055003918
10000104,Acton / Los Angeles North KOA,344036
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055019575
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024641
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024757
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024765
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055025275
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024773
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024781
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024799
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055024807
10000105,"Acumen Physician Solutions, LLC (Acumen)",1239220055025283
